course_rating,assignments_per_week,attendance_required,professor_rating,sentiment_score,subject_area,units,hours_per_week,projects,midterms_count,final_exam,grading_strictness,student_percentage_estimate,drop_rate,failure_rate,difficulty_score,difficulty_level
1.0,3,0,1.8,-0.48,Social Science,12,13,1,2,0,4.1,66.1,0.25,0.32,21.247751702587536,Hard
1.0,1,1,2.0,-0.7,Social Science,9,8,1,0,1,1.5,93.5,0.08,0.09,8.399222097611533,Easy
1.6,3,1,3.6,-1.0,Humanities,9,12,1,0,0,3.6,70.7,0.22,0.34,18.504085673073927,Medium
1.0,2,0,2.6,-1.0,STEM,9,8,0,1,1,2.9,68.9,0.26,0.31,21.95762971737452,Hard
1.5,1,0,1.4,-0.07,STEM,9,6,1,0,0,2.5,79.4,0.03,0.03,4.552511953785294,Easy
1.0,1,1,2.8,-0.73,Humanities,3,4,1,1,1,1.6,74.4,0.17,0.31,14.169904531745082,Medium
1.4,4,0,2.2,-0.83,Humanities,12,12,1,2,1,1.6,90.5,0.07,0.07,16.140880409392487,Medium
1.0,0,0,2.0,-0.99,Social Science,9,6,0,1,1,1.8,81.1,0.17,0.25,10.403742749317084,Easy
1.6,5,1,4.1,-1.0,Humanities,9,14,0,2,1,3.7,80.3,0.19,0.24,25.77256810177828,Hard
1.6,4,0,3.4,-0.91,Humanities,3,6,1,1,1,3.3,76.9,0.22,0.27,20.236206111318157,Hard
1.9,0,1,4.1,-1.0,STEM,12,9,1,2,1,4.6,59.7,0.19,0.38,23.33409031673589,Hard
1.0,0,0,2.0,-1.0,Humanities,3,3,1,0,1,2.0,77.4,0.17,0.24,10.079932097205853,Easy
1.0,0,0,1.8,-0.65,Humanities,9,6,0,0,1,2.6,73.9,0.27,0.3,9.596753772488052,Easy
1.2,3,0,2.9,-0.18,Humanities,3,5,0,0,1,1.1,92.7,0.06,0.12,6.232512849198122,Easy
1.1,4,1,1.8,-1.0,STEM,3,9,0,2,0,1.6,68.4,0.25,0.34,28.88696246007188,Hard
1.0,5,1,1.4,-1.0,Humanities,9,13,0,0,1,1.1,80.4,0.12,0.23,19.686247901595706,Hard
1.4,0,0,3.0,-0.75,Social Science,12,9,1,2,1,2.5,80.6,0.06,0.14,9.362390108397431,Easy
1.7,2,1,2.9,-0.23,Social Science,9,9,0,2,0,3.2,81.2,0.15,0.18,12.335758034248464,Easy
1.0,3,0,3.2,-0.64,STEM,9,9,0,2,1,2.5,74.6,0.13,0.28,21.005092783604823,Hard
1.0,5,1,1.6,-1.0,Humanities,3,9,0,2,1,1.9,85.3,0.08,0.13,21.381138579768095,Hard
2.0,3,1,4.2,-0.31,Humanities,12,13,1,1,0,1.3,81.4,0.13,0.24,11.994449587632886,Easy
1.0,5,1,1.2,-0.62,STEM,9,13,1,0,1,1.6,84.6,0.09,0.18,24.641578039586832,Hard
1.0,2,1,1.1,-0.46,STEM,3,6,1,0,1,3.8,63.9,0.21,0.28,22.571356650574277,Hard
1.0,2,0,3.5,-1.0,Social Science,9,8,0,0,0,3.4,72.2,0.18,0.3,13.993307467109926,Medium
1.0,3,0,1.3,-0.4,Humanities,9,10,1,0,1,1.0,88.1,0.06,0.03,9.682578661436683,Easy
2.1,0,0,3.3,-0.44,STEM,3,1,0,1,1,1.7,77.4,0.14,0.24,6.470193217098919,Easy
1.0,4,0,1.5,-0.95,Social Science,9,13,0,1,1,1.1,81.7,0.13,0.21,18.288994187145054,Medium
2.7,0,1,4.8,-0.43,Humanities,12,7,0,2,0,2.2,83.7,0.08,0.12,2.010181183510478,Easy
2.7,2,0,3.3,0.29,STEM,9,9,0,2,0,4.0,65.0,0.28,0.4,21.45611123161802,Hard
3.7,3,0,4.6,0.51,STEM,12,14,0,0,0,1.1,74.0,0.21,0.29,12.035943456485208,Easy
2.4,5,0,4.1,0.64,Social Science,12,16,0,2,0,2.9,73.2,0.17,0.21,17.41231258300704,Medium
1.3,4,0,2.0,-0.18,Humanities,12,12,0,1,0,1.4,90.6,0.06,0.1,10.768684392058868,Easy
1.4,2,0,4.4,-0.45,Social Science,9,7,0,1,1,2.7,76.5,0.18,0.24,11.667934128324928,Easy
1.0,0,1,1.4,-1.0,STEM,9,8,0,1,0,4.6,62.6,0.21,0.37,19.86313876329672,Hard
1.0,0,0,2.1,-1.0,STEM,9,7,0,2,0,4.4,68.8,0.25,0.33,18.699132403304,Medium
1.0,4,1,2.9,-1.0,Social Science,9,10,0,2,1,1.5,80.9,0.13,0.19,16.790485077999787,Medium
2.1,0,1,4.6,-0.16,Humanities,9,6,1,0,1,2.6,80.6,0.12,0.17,2.8507939595353835,Easy
2.1,5,1,3.4,0.82,STEM,3,9,1,0,0,1.9,80.8,0.15,0.21,15.861772652328042,Medium
1.0,5,1,1.8,-1.0,STEM,12,16,0,0,0,2.7,73.1,0.11,0.25,29.830843230589615,Hard
2.3,1,0,4.3,-0.44,Humanities,9,7,0,1,0,1.7,83.3,0.08,0.06,2.422924408482163,Easy
1.0,0,0,2.7,-0.22,Humanities,3,1,0,1,0,2.2,89.1,0.12,0.16,4.295871428784222,Easy
1.2,5,0,3.5,-0.53,Humanities,12,15,1,1,0,3.3,80.7,0.17,0.18,21.945185254706107,Hard
1.0,0,1,1.6,-0.6,Humanities,9,5,1,0,0,2.1,79.9,0.18,0.25,7.760630453143817,Easy
1.3,4,0,3.8,-0.58,Humanities,9,11,1,1,1,1.9,89.6,0.07,0.09,12.399096271001493,Easy
1.3,0,1,3.5,-0.45,Social Science,12,8,1,1,1,3.2,68.8,0.23,0.4,15.122047480478203,Medium
1.7,3,1,2.6,-1.0,Humanities,6,7,0,2,1,1.1,86.4,0.07,0.09,14.46402758783701,Medium
1.0,3,0,1.3,-1.0,Social Science,9,10,1,2,1,2.7,85.4,0.14,0.14,17.480816536588794,Medium
3.1,1,1,4.6,-0.03,Social Science,9,6,0,2,0,1.7,74.1,0.2,0.3,8.207626065335985,Easy
1.0,2,0,1.1,-0.45,Social Science,3,4,1,2,1,2.9,85.7,0.2,0.25,17.076866938458053,Medium
1.0,2,1,2.4,-0.71,Social Science,3,5,0,2,0,4.1,70.8,0.24,0.32,18.411069384723,Medium
2.4,1,1,4.6,-0.22,STEM,6,7,1,0,1,1.1,87.5,0.11,0.15,6.235602576596289,Easy
1.3,4,0,3.9,-0.78,STEM,6,11,1,1,0,4.1,59.0,0.26,0.4,30.51552902711492,Hard
1.5,0,0,4.5,-0.68,STEM,9,9,1,2,0,1.1,80.1,0.12,0.24,11.436431261501872,Easy
1.3,0,1,2.2,-0.21,Humanities,3,3,1,1,0,2.1,87.8,0.07,0.17,4.78829658701853,Easy
1.3,5,1,3.4,-1.0,STEM,9,13,1,2,1,3.9,65.1,0.25,0.34,35.61994340289739,Hard
1.4,4,0,4.6,0.79,Social Science,3,8,1,0,0,4.5,63.7,0.22,0.31,18.769966012048616,Medium
2.2,0,1,4.7,1.0,Social Science,6,6,0,2,1,2.2,88.4,0.13,0.15,0.7166768912306848,Easy
1.3,3,1,2.2,-0.77,STEM,9,11,0,1,0,2.9,65.6,0.27,0.39,24.96628925166148,Hard
1.0,1,1,2.6,-1.0,Social Science,12,9,1,2,1,4.6,62.4,0.28,0.4,20.14195498252697,Hard
1.3,1,1,4.9,1.0,Social Science,3,3,1,1,1,4.3,77.7,0.16,0.26,7.220585258748278,Easy
1.0,4,0,1.8,-0.91,STEM,9,10,0,2,0,3.5,66.0,0.25,0.34,29.83714702861996,Hard
1.0,5,0,1.9,-0.67,Humanities,3,9,0,1,0,2.0,91.7,0.1,0.11,16.20332723134365,Medium
1.0,4,1,1.5,-1.0,STEM,12,14,1,1,0,3.2,64.7,0.2,0.33,31.749967829272958,Hard
2.1,2,1,3.4,0.01,STEM,3,4,1,0,0,1.6,86.3,0.1,0.15,8.01865610141617,Easy
2.0,3,1,4.0,0.04,Humanities,9,11,0,0,0,2.4,71.1,0.24,0.31,14.292713673675472,Medium
1.3,0,0,1.7,-1.0,Social Science,9,6,0,0,1,1.2,89.7,0.03,0.12,6.149562378450198,Easy
2.0,3,1,4.3,0.31,Social Science,3,6,0,0,0,3.7,72.4,0.25,0.34,12.206855017205832,Easy
1.6,0,0,4.5,-0.28,Humanities,9,8,0,1,0,4.5,64.4,0.17,0.33,12.809049166624428,Medium
2.4,5,1,3.3,-0.24,Social Science,12,13,1,1,1,2.3,86.1,0.04,0.1,14.880718139457684,Medium
1.0,3,1,1.4,-1.0,STEM,3,5,1,0,0,1.1,76.4,0.21,0.27,20.035165235578283,Hard
1.0,3,0,2.7,-0.67,Humanities,12,12,0,1,1,2.5,84.0,0.15,0.15,13.949978650280851,Medium
2.5,4,1,4.1,-0.06,STEM,6,7,1,0,1,3.9,64.0,0.26,0.38,24.386962964166603,Hard
1.0,1,1,1.1,-0.96,Social Science,3,3,0,0,1,2.4,76.6,0.28,0.3,13.633008610391707,Medium
1.2,2,1,2.2,-0.86,Humanities,12,11,0,0,1,1.2,90.7,0.1,0.11,12.545209431300934,Easy
1.0,0,0,1.0,-0.41,STEM,3,3,1,1,0,1.8,70.0,0.14,0.29,13.630509016940522,Medium
2.4,4,1,4.3,1.0,Humanities,12,14,1,1,1,2.5,90.2,0.0,0.05,5.290803740993919,Easy
1.5,1,1,3.0,-0.41,Humanities,9,6,0,1,0,1.3,85.2,0.14,0.11,6.647614055836449,Easy
1.1,5,0,3.0,0.51,Humanities,3,8,0,0,1,1.8,84.8,0.04,0.13,11.883358266185418,Easy
1.0,0,1,1.7,-1.0,Humanities,9,7,0,0,1,2.0,81.7,0.13,0.22,10.605326924040003,Easy
1.0,2,0,1.9,-0.07,Humanities,9,9,1,0,0,3.0,63.3,0.21,0.3,15.261058806350112,Medium
2.5,1,1,4.2,0.24,Humanities,9,6,0,1,1,1.9,85.2,0.11,0.11,3.522978447289746,Easy
1.0,1,1,1.7,-0.8,Social Science,12,9,0,0,0,2.9,74.2,0.16,0.29,13.736130537784137,Medium
1.0,4,1,4.0,-0.93,STEM,9,11,1,2,1,4.7,63.1,0.3,0.4,33.55186359166004,Hard
1.0,5,0,1.4,-0.78,Social Science,9,11,0,0,0,1.4,86.8,0.09,0.16,16.544676448977945,Medium
1.1,0,1,3.0,-0.7,STEM,3,2,0,0,1,1.9,80.6,0.12,0.17,7.074640317353851,Easy
1.8,1,0,4.7,0.25,STEM,3,2,1,1,0,4.3,60.6,0.29,0.39,18.029366051206235,Medium
1.3,2,1,4.1,0.3,Humanities,12,12,0,2,1,3.9,71.0,0.16,0.25,17.546748226618504,Medium
1.0,2,1,1.2,-0.57,Social Science,9,10,0,0,0,4.8,74.8,0.23,0.34,19.019612670602672,Medium
1.1,3,1,2.9,0.13,STEM,9,9,0,2,1,2.8,66.5,0.27,0.4,27.49587040200631,Hard
2.1,3,1,3.9,0.21,STEM,9,9,0,2,0,3.4,63.2,0.23,0.4,24.864774551799787,Hard
1.0,2,0,3.4,-1.0,STEM,3,6,0,1,0,5.0,61.5,0.3,0.4,23.99048101151835,Hard
1.0,2,0,2.9,-0.87,STEM,9,11,1,0,0,2.2,76.1,0.23,0.25,20.002135826373905,Hard
1.1,2,1,1.5,0.05,Humanities,12,12,1,1,1,3.0,86.1,0.13,0.15,14.092584320938856,Medium
1.0,1,0,2.2,-0.85,Social Science,12,11,0,1,1,3.1,78.1,0.14,0.23,13.026056531046383,Medium
