course_rating,assignments_per_week,attendance_required,professor_rating,sentiment_score,subject_area,units,hours_per_week,projects,midterms_count,final_exam,grading_strictness,student_percentage_estimate,drop_rate,failure_rate,difficulty_score,difficulty_level
4.2,0,0,4.0,1.0,Social Science,6,4,0,1,1,1.7,80.6,0.14,0.12,-0.23971991428292938,Easy
2.2,1,1,3.0,-0.71,Social Science,9,6,1,1,0,4.2,66.5,0.2,0.29,16.345989504480645,Medium
2.6,3,1,3.0,-0.26,Humanities,9,10,0,0,0,2.6,80.7,0.14,0.21,12.477248648631953,Easy
1.5,2,0,2.0,-0.89,STEM,9,9,0,2,0,1.2,81.0,0.07,0.14,17.988776056603868,Medium
1.9,5,1,2.0,0.43,Social Science,12,14,1,2,1,1.5,88.7,0.06,0.08,18.274062335876437,Medium
1.0,3,0,1.0,-1.0,STEM,6,7,0,2,1,3.3,65.8,0.28,0.38,30.230111040906213,Hard
3.0,0,1,4.0,-0.06,Humanities,3,2,1,2,0,4.4,69.8,0.24,0.31,11.015839200334753,Easy
1.4,4,1,2.0,-0.48,STEM,12,15,1,0,1,4.7,67.8,0.27,0.36,39.17504421718523,Hard
3.0,3,1,3.0,-0.53,Social Science,3,5,0,0,0,4.9,70.5,0.22,0.26,14.464761749737416,Medium
4.8,1,1,4.0,0.66,STEM,12,9,0,1,1,1.5,73.1,0.15,0.17,10.517344477735065,Easy
1.9,2,1,3.0,-0.84,STEM,3,5,1,2,1,4.7,56.6,0.29,0.4,30.832209199341918,Hard
2.6,0,0,2.0,-0.0,Social Science,9,8,1,1,0,2.2,78.9,0.16,0.19,8.256774388757162,Easy
2.6,0,0,3.0,-0.18,STEM,3,2,1,1,1,1.3,85.5,0.06,0.11,3.6206009471620044,Easy
2.7,1,0,3.0,0.75,Social Science,3,3,1,1,1,4.7,72.1,0.17,0.31,11.579655147352488,Easy
2.7,2,0,3.0,-0.14,Humanities,3,6,1,0,0,2.2,88.7,0.11,0.1,6.709119006276391,Easy
2.0,0,0,3.0,0.51,STEM,9,6,1,1,0,4.1,64.9,0.24,0.34,18.705816851848056,Medium
2.2,4,1,3.0,0.04,Social Science,3,6,1,1,0,4.5,67.3,0.14,0.33,20.68979044861993,Medium
2.8,4,0,3.0,-0.52,STEM,3,7,0,1,0,1.0,80.1,0.1,0.22,15.88706103931759,Medium
5.0,0,0,5.0,1.0,Humanities,3,2,1,1,0,1.1,83.8,0.07,0.14,-6.359978724922248,Easy
2.5,3,0,3.0,-0.2,Humanities,9,10,1,1,1,2.2,86.5,0.06,0.12,12.262645350927347,Easy
1.1,5,1,3.0,-0.85,Humanities,9,14,0,1,0,3.8,66.3,0.21,0.28,28.72077362582605,Hard
3.6,5,0,4.0,-0.75,Humanities,6,10,0,2,1,4.7,67.5,0.26,0.37,25.683900608764525,Hard
1.1,3,0,3.0,0.49,Social Science,9,11,0,0,0,4.8,69.7,0.16,0.31,18.306186331637473,Medium
1.0,0,0,2.0,-1.0,Social Science,3,1,0,2,1,3.9,74.2,0.13,0.25,12.559017349824098,Easy
1.3,3,1,1.0,-0.81,Social Science,9,10,0,2,1,1.5,83.7,0.13,0.24,20.49008403829256,Medium
1.0,4,0,1.0,-1.0,Humanities,3,9,1,2,1,5.0,68.3,0.28,0.36,29.453923256633754,Hard
1.7,1,1,3.0,-0.44,Humanities,3,2,1,2,0,1.5,82.0,0.1,0.16,9.025661394794097,Easy
1.9,0,1,2.0,-1.0,Humanities,3,1,1,2,0,1.1,77.0,0.08,0.13,7.640632638044145,Easy
1.7,3,0,2.0,-0.1,Social Science,12,12,1,1,0,1.1,84.5,0.04,0.08,12.81750761630848,Easy
1.3,0,0,2.0,-0.6,Social Science,9,7,0,2,1,4.0,66.4,0.19,0.32,17.93592430721542,Medium
2.7,5,1,3.0,-0.24,Social Science,6,13,1,0,0,2.4,76.1,0.19,0.25,19.519607129384415,Medium
2.4,0,1,3.0,0.53,Social Science,9,7,0,1,1,3.8,62.5,0.25,0.34,14.473796371172135,Medium
4.4,4,0,4.0,0.11,STEM,12,14,0,0,1,4.8,71.7,0.15,0.34,25.538438874729053,Hard
1.5,5,1,2.0,-1.0,Humanities,9,13,0,0,0,3.1,68.4,0.22,0.29,25.001054765627,Hard
2.8,0,1,3.0,-0.19,Social Science,3,1,1,1,0,2.1,85.7,0.05,0.12,3.5928135671044714,Easy
2.1,5,0,3.0,0.08,Humanities,12,14,0,0,1,3.9,69.3,0.21,0.35,24.173912099936874,Medium
2.3,3,1,3.0,0.21,STEM,9,9,0,2,0,4.7,64.9,0.24,0.29,26.723088492531755,Hard
1.0,3,0,1.0,-0.88,Social Science,3,8,1,2,0,5.0,55.1,0.26,0.4,25.577620812793246,Hard
1.0,2,0,1.0,-0.36,Social Science,3,6,1,1,1,4.4,67.1,0.27,0.39,21.762289621531508,Medium
2.2,1,1,3.0,-0.06,STEM,3,3,1,2,1,1.9,76.6,0.24,0.25,14.907948063089474,Medium
3.3,3,0,4.0,0.67,STEM,12,12,1,0,0,4.7,57.0,0.29,0.4,30.779303432801758,Hard
3.8,3,1,4.0,0.3,STEM,12,12,1,0,0,1.1,75.8,0.19,0.25,17.039711231132983,Medium
2.4,5,0,3.0,0.14,Social Science,9,14,0,2,0,2.4,71.6,0.18,0.23,22.55841654693672,Medium
1.0,1,0,1.0,-0.86,Social Science,9,9,1,1,1,3.1,70.9,0.19,0.25,17.669233064319315,Medium
1.2,0,0,1.0,-0.92,Social Science,12,8,1,2,1,1.1,83.0,0.1,0.13,13.911123729235719,Medium
2.1,3,1,3.0,-0.77,STEM,9,10,1,1,1,3.5,65.1,0.23,0.35,31.560719418287487,Hard
3.3,1,1,4.0,-0.0,Social Science,9,7,0,1,1,4.1,72.4,0.16,0.24,11.23092621342495,Easy
5.0,4,0,5.0,1.0,Humanities,12,12,0,2,1,1.0,90.1,0.02,0.03,2.8483318897187093,Easy
3.1,4,0,4.0,-0.3,Social Science,3,7,1,0,0,4.7,71.3,0.17,0.29,16.68004554050955,Medium
3.4,5,1,4.0,-0.46,Social Science,3,9,1,0,0,1.3,81.6,0.14,0.21,15.099547793085891,Medium
3.2,0,0,4.0,-1.0,STEM,3,2,0,0,0,2.9,71.4,0.22,0.34,11.138376658931442,Easy
4.8,3,0,4.0,0.2,Humanities,9,10,0,1,0,2.5,81.8,0.15,0.19,8.269531651575837,Easy
1.4,2,0,3.0,-0.85,STEM,9,10,1,0,0,4.8,52.1,0.3,0.4,30.232131392266687,Hard
2.7,0,1,4.0,0.63,Humanities,3,4,1,0,1,4.8,70.7,0.14,0.27,11.476275414318717,Easy
2.0,5,0,3.0,-0.31,Social Science,9,12,1,0,0,3.6,68.4,0.22,0.24,23.25396821457149,Medium
1.3,2,1,2.0,-1.0,Humanities,3,5,0,2,0,4.3,75.0,0.12,0.21,20.833782813101458,Medium
1.0,3,1,1.0,-1.0,STEM,6,8,0,1,1,3.2,66.7,0.25,0.31,29.32224926290968,Hard
3.6,4,0,4.0,0.95,Social Science,9,11,1,1,1,3.5,83.4,0.11,0.09,10.603442939318398,Easy
2.7,2,0,4.0,-0.42,Humanities,3,3,0,1,1,1.5,94.3,0.01,0.04,0.8452701931693747,Easy
1.6,3,1,3.0,-0.85,Social Science,3,5,1,1,0,3.9,72.7,0.24,0.32,19.13502311808767,Medium
1.4,2,1,3.0,-0.13,Humanities,9,9,1,1,1,4.8,65.2,0.21,0.33,20.55748724373096,Medium
3.6,5,1,4.0,0.49,Humanities,12,16,1,2,1,1.8,87.1,0.09,0.15,16.154386085036204,Medium
2.1,1,1,4.0,-0.88,Humanities,9,6,0,1,0,4.4,71.9,0.19,0.34,15.912572685263186,Medium
2.1,5,0,3.0,-1.0,Social Science,9,14,1,1,0,4.8,60.9,0.3,0.4,30.821604161580005,Hard
1.0,5,0,1.0,-0.54,Humanities,3,8,0,1,0,1.9,83.6,0.11,0.15,17.950385061084965,Medium
2.7,2,1,3.0,-0.09,STEM,9,8,0,1,0,3.7,68.8,0.21,0.23,19.805301030175777,Medium
1.0,4,0,1.0,-0.47,Social Science,12,14,1,2,1,2.0,80.9,0.15,0.17,25.098095181727775,Hard
2.8,2,0,3.0,-0.61,Humanities,3,5,0,2,0,1.8,80.1,0.13,0.23,10.928346024747128,Easy
1.3,3,1,3.0,-0.11,Social Science,3,5,0,1,0,3.9,76.2,0.18,0.25,15.848154823736376,Medium
