course_rating,assignments_per_week,attendance_required,professor_rating,sentiment_score,subject_area,units,hours_per_week,projects,midterms_count,final_exam,grading_strictness,student_percentage_estimate,drop_rate,failure_rate,difficulty_score,difficulty_level
2.7,1,0,4.0,0.87,STEM,3,3,0,0,1,2.6,70.8,0.23,0.34,9.661286778320573,Easy
1.7,5,1,3.0,-0.89,STEM,9,13,1,0,0,2.0,79.5,0.15,0.2,26.102768760424375,Hard
1.0,4,1,1.0,-0.87,Humanities,9,10,0,1,0,1.6,85.4,0.19,0.24,22.783163219758137,Medium
1.6,3,1,2.0,-0.84,Social Science,3,7,1,0,1,2.9,71.4,0.19,0.25,17.87828942239546,Medium
3.0,2,0,3.0,0.14,Social Science,9,10,0,2,0,2.7,67.2,0.25,0.34,19.31481458940787,Medium
1.0,0,1,1.0,-0.38,STEM,3,3,0,2,1,4.9,62.4,0.18,0.35,23.184493731669324,Medium
1.0,0,1,2.0,0.21,Humanities,12,7,0,1,0,3.9,71.8,0.23,0.22,13.093913587775145,Easy
1.5,2,1,2.0,-0.55,Humanities,12,11,0,0,1,2.0,87.2,0.13,0.19,14.466486787994793,Medium
4.1,3,1,5.0,1.0,Social Science,3,5,1,0,1,2.5,77.0,0.17,0.24,5.550604567758439,Easy
2.3,3,0,2.0,-0.78,Humanities,12,13,0,2,1,1.1,94.1,0.07,0.04,16.688942401857997,Medium
3.8,2,0,5.0,0.95,STEM,3,4,0,0,1,4.1,58.6,0.29,0.4,21.504805063054345,Medium
1.0,3,0,1.0,-1.0,STEM,12,14,0,2,0,3.7,65.7,0.22,0.33,34.77135226967064,Hard
2.3,0,1,3.0,0.19,Humanities,12,7,0,0,0,4.7,79.7,0.09,0.1,7.855509508784529,Easy
1.4,4,0,2.0,-1.0,Humanities,12,13,0,2,1,2.9,78.4,0.18,0.18,23.0778869373619,Medium
4.1,2,1,4.0,-0.16,Humanities,3,4,1,0,1,1.5,78.4,0.1,0.17,6.382892443749548,Easy
1.3,3,0,3.0,-0.65,Humanities,9,10,0,2,1,4.4,69.9,0.19,0.33,22.7298295765502,Medium
1.0,2,0,1.0,-1.0,Humanities,12,12,1,2,1,2.2,81.0,0.19,0.28,23.55594938371999,Medium
2.3,4,1,2.0,-0.91,Humanities,9,12,1,0,0,1.7,93.5,0.12,0.16,17.70242052359857,Medium
3.3,0,0,4.0,-0.47,Social Science,6,5,0,1,0,4.8,71.6,0.13,0.22,10.507376206528622,Easy
3.3,0,1,4.0,0.46,STEM,9,7,0,0,1,2.2,83.0,0.05,0.11,2.0587123782556067,Easy
2.3,1,1,3.0,-0.56,Humanities,3,4,1,1,0,1.6,80.1,0.13,0.12,9.149891894915665,Easy
1.5,2,0,3.0,-0.81,Social Science,9,9,0,2,0,4.5,66.9,0.22,0.34,21.067694843951735,Medium
2.7,0,1,3.0,0.21,Social Science,9,8,0,2,1,1.2,82.5,0.12,0.13,8.194818673526132,Easy
1.8,3,0,3.0,-0.81,Humanities,9,11,1,2,1,4.6,66.5,0.22,0.35,25.837903430934766,Hard
3.4,3,1,4.0,0.67,Social Science,12,12,0,2,0,2.3,82.2,0.15,0.2,12.257766906367113,Easy
2.3,0,0,2.0,-0.43,Humanities,6,5,0,0,0,1.4,86.1,0.15,0.14,2.58445570403726,Easy
2.7,1,1,3.0,-0.62,STEM,6,4,0,1,1,3.6,75.3,0.22,0.3,17.8238596643201,Medium
1.0,2,1,1.0,-1.0,Social Science,9,10,0,1,0,3.9,64.5,0.24,0.32,21.216818788511986,Medium
2.0,1,0,2.0,0.47,Humanities,9,9,1,1,1,2.5,82.8,0.14,0.17,11.623714027570257,Easy
2.4,3,1,3.0,-0.42,STEM,12,13,0,2,1,3.0,70.1,0.22,0.34,30.918306251507058,Hard
2.7,5,0,3.0,-0.87,Social Science,9,13,0,0,0,1.7,75.5,0.1,0.19,18.098188263106813,Medium
1.5,0,0,3.0,-0.6,STEM,9,7,1,2,0,2.2,81.1,0.06,0.16,13.183144418123812,Easy
3.1,5,0,4.0,0.22,STEM,9,11,0,1,0,3.8,64.6,0.27,0.39,30.2597207310834,Hard
3.7,3,0,4.0,-0.44,STEM,9,10,1,1,1,2.4,67.2,0.24,0.26,24.245670981881656,Medium
2.2,2,0,3.0,-0.23,Social Science,3,4,1,2,1,1.8,82.2,0.19,0.23,11.882837959166057,Easy
3.0,3,0,4.0,1.0,STEM,9,10,0,2,1,2.0,82.3,0.09,0.14,11.977931011063864,Easy
1.0,1,0,1.0,-0.78,Social Science,9,8,1,1,1,3.1,67.9,0.21,0.28,18.546737046294602,Medium
1.0,4,1,2.0,-0.59,STEM,3,7,1,1,0,4.3,67.6,0.19,0.31,28.816590952260686,Hard
1.0,0,0,1.0,-0.67,Humanities,6,4,0,0,1,3.7,71.0,0.18,0.28,9.832724626799248,Easy
1.0,3,1,1.0,-1.0,STEM,9,11,0,2,1,3.7,60.3,0.3,0.39,35.37101124733104,Hard
2.7,3,0,3.0,-0.83,Humanities,9,9,0,1,1,1.7,88.7,0.1,0.15,14.736931248978937,Medium
1.0,3,1,1.0,-0.83,Humanities,12,11,0,0,1,1.3,82.2,0.15,0.25,20.270431793176666,Medium
3.0,3,1,4.0,0.25,STEM,9,10,1,1,1,3.6,66.1,0.2,0.32,27.53268371257517,Hard
3.1,4,1,4.0,1.0,Humanities,9,10,0,1,0,1.0,95.4,0.0,0.0,1.242205898551151,Easy
3.3,0,1,4.0,0.04,Humanities,9,8,0,0,1,3.1,73.2,0.16,0.24,9.749615958154212,Easy
1.5,1,1,3.0,-1.0,Humanities,9,8,1,1,1,3.0,73.3,0.17,0.18,16.29646077214877,Medium
1.5,0,1,2.0,-0.92,STEM,9,6,1,1,0,2.8,74.4,0.18,0.3,18.641662779099622,Medium
3.0,5,1,4.0,-0.31,Humanities,9,11,1,1,0,1.5,90.9,0.0,0.05,11.8143333605204,Easy
2.5,5,1,3.0,0.55,STEM,3,8,0,0,1,1.6,79.8,0.1,0.16,17.075091409177823,Medium
4.5,1,0,4.0,0.7,STEM,3,5,1,0,0,2.5,74.0,0.19,0.23,5.023965097624641,Easy
3.9,4,0,4.0,0.37,Social Science,9,10,1,1,0,2.8,76.3,0.13,0.19,11.915572856960555,Easy
2.7,5,1,3.0,-0.64,STEM,3,8,0,2,0,1.4,75.4,0.23,0.32,24.283523017490996,Medium
1.0,1,0,3.0,-1.0,Social Science,9,7,1,0,1,3.4,64.3,0.21,0.3,17.12327946407121,Medium
3.5,0,1,3.0,-0.11,Humanities,3,2,1,2,1,3.1,85.0,0.17,0.23,6.616838415385766,Easy
4.0,2,1,5.0,0.24,Social Science,3,4,1,1,1,3.5,74.9,0.18,0.26,10.112462999734083,Easy
3.7,0,0,4.0,-0.35,STEM,9,7,1,1,0,2.7,70.1,0.28,0.34,15.47483964520944,Medium
1.8,5,0,2.0,-0.35,Humanities,9,11,0,2,0,4.8,75.5,0.2,0.29,25.878245676236745,Hard
1.0,2,1,1.0,-1.0,Humanities,12,10,0,0,1,3.9,70.5,0.18,0.26,21.899595625889305,Medium
4.1,1,1,4.0,0.25,Humanities,6,6,0,2,1,1.5,93.6,0.13,0.15,1.83609495151368,Easy
2.4,4,0,3.0,-0.12,Social Science,12,14,1,0,1,3.0,83.9,0.01,0.0,14.168437052413262,Medium
2.6,1,1,2.0,-0.04,Humanities,9,8,1,1,1,3.0,82.8,0.15,0.15,10.62609265387201,Easy
2.0,1,1,3.0,-1.0,Humanities,3,4,1,2,0,4.6,64.6,0.19,0.29,15.67958079231575,Medium
3.6,2,0,4.0,0.36,STEM,3,4,0,1,0,2.7,61.9,0.26,0.36,16.95345718867191,Medium
3.1,2,0,3.0,-0.4,STEM,3,3,1,0,1,2.6,74.7,0.18,0.25,13.495923811221754,Easy
1.1,0,0,2.0,-0.55,STEM,9,6,0,1,1,1.5,75.8,0.16,0.24,15.453304644605348,Medium
1.0,3,1,2.0,-0.32,Social Science,3,5,0,1,1,5.0,62.7,0.26,0.33,23.402549691821843,Medium
1.0,1,0,1.0,-1.0,Humanities,3,5,0,0,0,4.9,66.9,0.14,0.28,16.947562959032837,Medium
2.4,3,1,4.0,-1.0,Social Science,3,5,0,1,1,4.0,68.5,0.25,0.38,20.60774530317244,Medium
1.9,1,0,3.0,-0.17,Social Science,9,8,0,0,0,3.0,76.0,0.18,0.2,9.241210428169232,Easy
3.0,1,1,3.0,-0.42,STEM,3,4,1,2,1,4.3,63.2,0.19,0.32,22.57851346378073,Medium
1.5,2,1,3.0,-1.0,STEM,9,8,1,1,0,1.9,80.4,0.07,0.18,17.719569539700252,Medium
3.4,4,0,4.0,-1.0,Humanities,9,12,0,2,1,4.7,72.8,0.22,0.28,23.788846502733,Medium
3.9,2,0,4.0,0.49,Social Science,12,9,1,2,0,1.4,90.2,0.07,0.12,3.334137390704421,Easy
1.0,0,0,1.0,-1.0,STEM,3,2,1,2,0,2.4,73.7,0.21,0.24,17.934596932481607,Medium
1.8,0,0,3.0,-0.87,Humanities,9,7,1,1,0,3.0,70.3,0.19,0.31,13.730101438662965,Medium
1.0,1,1,1.0,-0.8,Humanities,3,3,0,0,0,1.1,86.7,0.0,0.02,6.759119461695326,Easy
1.0,2,1,1.0,-1.0,STEM,3,3,0,0,1,3.4,70.4,0.17,0.25,18.718109759399205,Medium
1.7,4,1,3.0,0.17,STEM,9,11,1,0,0,2.0,81.7,0.06,0.12,17.675877502684802,Medium
1.0,4,0,1.0,-1.0,Social Science,9,10,1,1,0,4.2,58.9,0.29,0.4,25.92002783007575,Hard
1.6,5,0,2.0,-0.43,STEM,3,9,0,2,0,2.4,78.2,0.1,0.12,23.84442114452893,Medium
3.7,3,0,4.0,0.76,STEM,9,11,1,0,1,3.4,58.6,0.25,0.4,28.044236631908376,Hard
1.0,2,1,1.0,-0.34,STEM,3,4,1,1,1,4.4,69.9,0.26,0.3,26.201754958948918,Hard
4.2,0,0,4.0,0.75,Social Science,3,2,0,2,0,4.0,63.6,0.24,0.4,12.176756504810475,Easy
1.3,4,0,3.0,0.35,Humanities,9,10,0,0,0,4.1,84.4,0.13,0.12,11.963355514422444,Easy
3.5,4,0,4.0,0.34,Humanities,9,11,0,2,0,3.4,70.3,0.14,0.25,17.551159535639545,Medium
2.1,0,0,3.0,0.74,Social Science,9,6,0,0,0,4.1,62.5,0.28,0.4,12.01483271692602,Easy
1.0,1,0,1.0,-1.0,STEM,9,8,1,0,1,4.5,59.6,0.25,0.34,26.49275057991979,Hard
1.0,0,1,1.0,-0.23,STEM,9,6,0,1,0,1.0,85.8,0.02,0.09,7.488745462228265,Easy
3.3,1,0,4.0,0.62,Humanities,6,6,1,1,0,2.5,82.9,0.22,0.33,6.484860195534629,Easy
2.7,0,1,3.0,-0.51,Social Science,12,7,1,1,1,1.3,86.8,0.09,0.14,6.823567640022705,Easy
3.0,2,0,4.0,1.0,Social Science,3,5,1,2,0,1.3,84.5,0.15,0.26,4.344331995683056,Easy
1.0,3,0,2.0,-1.0,Humanities,9,12,1,0,0,3.9,72.3,0.18,0.22,21.13702421326425,Medium
3.3,4,1,4.0,0.92,STEM,9,11,0,1,1,2.1,76.3,0.16,0.23,19.434111148132196,Medium
